state,date,value
MI,2022-01-01,13.3
MI,2023-01-01,13.5
MI,2024-01-01,13.4
MN,1989-01-01,9.6
MN,1990-01-01,
MN,1991-01-01,
MN,1992-01-01,
MN,1993-01-01,10.8
MN,1994-01-01,
MN,1995-01-01,8.7
MN,1996-01-01,8.8
MN,1997-01-01,8.9
MN,1998-01-01,8.9
MN,1999-01-01,7.5
MN,2000-01-01,6.9
MN,2001-01-01,7.2
MN,2002-01-01,7.5
MN,2003-01-01,8.0
MN,2004-01-01,8.1
MN,2005-01-01,9.2
MN,2006-01-01,9.7
MN,2007-01-01,9.5
MN,2008-01-01,9.6
MN,2009-01-01,10.9
MN,2010-01-01,11.5
MN,2011-01-01,11.8
MN,2012-01-01,11.4
MN,2013-01-01,11.2
MN,2014-01-01,11.4
MN,2015-01-01,10.2
MN,2016-01-01,9.9
MN,2017-01-01,9.5
MN,2018-01-01,9.6
MN,2019-01-01,8.9
MN,2020-01-01,8.3
MN,2021-01-01,9.3
MN,2022-01-01,9.6
MN,2023-01-01,9.2
MN,2024-01-01,9.3
MS,1989-01-01,24.6
MS,1990-01-01,
MS,1991-01-01,
MS,1992-01-01,
MS,1993-01-01,24.6
MS,1994-01-01,
MS,1995-01-01,21.4
MS,1996-01-01,20.8
MS,1997-01-01,18.1
MS,1998-01-01,17.6
MS,1999-01-01,18.2
MS,2000-01-01,17.6
MS,2001-01-01,19.0
MS,2002-01-01,18.9
MS,2003-01-01,18.3
MS,2004-01-01,19.3
MS,2005-01-01,21.0
MS,2006-01-01,20.9
MS,2007-01-01,20.7
MS,2008-01-01,20.8
MS,2009-01-01,21.8
MS,2010-01-01,22.4
MS,2011-01-01,22.8
MS,2012-01-01,23.8
MS,2013-01-01,23.9
MS,2014-01-01,21.9
MS,2015-01-01,22.1
MS,2016-01-01,21.0
MS,2017-01-01,19.9
MS,2018-01-01,19.8
MS,2019-01-01,19.5
MS,2020-01-01,18.7
MS,2021-01-01,19.2
MS,2022-01-01,19.2
MS,2023-01-01,18.3
MS,2024-01-01,17.8
MO,1989-01-01,13.0
MO,1990-01-01,
MO,1991-01-01,
MO,1992-01-01,
MO,1993-01-01,15.1
MO,1994-01-01,
MO,1995-01-01,13.4
MO,1996-01-01,12.6
MO,1997-01-01,12.2
MO,1998-01-01,11.7
MO,1999-01-01,11.4
MO,2000-01-01,10.6
MO,2001-01-01,11.0
MO,2002-01-01,11.3
MO,2003-01-01,11.6
MO,2004-01-01,13.0
MO,2005-01-01,13.6
MO,2006-01-01,13.8
MO,2007-01-01,13.3
MO,2008-01-01,13.5
MO,2009-01-01,14.6
MO,2010-01-01,15.3
MO,2011-01-01,15.8
MO,2012-01-01,16.2
MO,2013-01-01,15.8
